posted_date,job_title,skill_name,job_link
Diperbarui 5 hari yang lalu,Backend Developer (.NET),PostgreSQL,https://glints.com/id/opportunities/jobs/backend-developer-net/21351f81-1696-4355-8757-b1dc9883a659?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend (NodeJs) Developer,GraphQL,https://glints.com/id/opportunities/jobs/backend-nodejs-developer/db3abd52-0483-4249-807f-96c763642290?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend (NodeJs) Developer,NestJS,https://glints.com/id/opportunities/jobs/backend-nodejs-developer/db3abd52-0483-4249-807f-96c763642290?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend (NodeJs) Developer,PostgreSQL,https://glints.com/id/opportunities/jobs/backend-nodejs-developer/db3abd52-0483-4249-807f-96c763642290?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend (NodeJs) Developer,TypeScript,https://glints.com/id/opportunities/jobs/backend-nodejs-developer/db3abd52-0483-4249-807f-96c763642290?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend (NodeJs) Developer,MongoDB,https://glints.com/id/opportunities/jobs/backend-nodejs-developer/db3abd52-0483-4249-807f-96c763642290?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend (NodeJs) Developer,Docker,https://glints.com/id/opportunities/jobs/backend-nodejs-developer/db3abd52-0483-4249-807f-96c763642290?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 26 hari yang lalu,Backend (NodeJs) Developer,Node.js,https://glints.com/id/opportunities/jobs/backend-nodejs-developer/db3abd52-0483-4249-807f-96c763642290?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 5 hari yang lalu,Jr Backend Developer,Java,https://glints.com/id/opportunities/jobs/jr-backend-developer/1015da89-9e56-43c7-bafd-740ca1722dd9?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 5 hari yang lalu,Jr Backend Developer,Node.js,https://glints.com/id/opportunities/jobs/jr-backend-developer/1015da89-9e56-43c7-bafd-740ca1722dd9?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 5 hari yang lalu,Jr Backend Developer,MongoDB,https://glints.com/id/opportunities/jobs/jr-backend-developer/1015da89-9e56-43c7-bafd-740ca1722dd9?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 20 hari yang lalu,Backend Developer (Node.js),RESTful API,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/60470729-111b-4a87-9892-83edf11520c6?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 20 hari yang lalu,Backend Developer (Node.js),Node.js,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/60470729-111b-4a87-9892-83edf11520c6?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 20 hari yang lalu,Backend Developer (Node.js),PostgreSQL,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/60470729-111b-4a87-9892-83edf11520c6?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 20 hari yang lalu,Backend Developer (Node.js),MongoDB,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/60470729-111b-4a87-9892-83edf11520c6?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 6 hari yang lalu,Backend Developer Intern,CSS3,https://glints.com/id/opportunities/jobs/backend-developer-intern/789346dd-12fc-4f84-8911-2c6a3d0da3ea?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 6 hari yang lalu,Backend Developer Intern,HTML5,https://glints.com/id/opportunities/jobs/backend-developer-intern/789346dd-12fc-4f84-8911-2c6a3d0da3ea?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 6 hari yang lalu,Backend Developer Intern,PostgreSQL,https://glints.com/id/opportunities/jobs/backend-developer-intern/789346dd-12fc-4f84-8911-2c6a3d0da3ea?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Diperbarui 6 hari yang lalu,Backend Developer Intern,MongoDB,https://glints.com/id/opportunities/jobs/backend-developer-intern/789346dd-12fc-4f84-8911-2c6a3d0da3ea?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 6 hari yang lalu,Backend Developer (Node.js),Java,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/dcfd8d90-f7a1-4feb-8326-550118a5cff8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
Tayang 6 hari yang lalu,Backend Developer (Node.js),Kubernetes,https://glints.com/id/opportunities/jobs/backend-developer-nodejs/dcfd8d90-f7a1-4feb-8326-550118a5cff8?utm_referrer=explore&traceInfo=bb0661ab-0bf7-4955-8c0e-a3c4ea3014ee
